model,hub_id,epoch,rouge1,rouge2,rougeL,rougeLsum,bleu,meteor,chrf,bertscore_precision,bertscore_recall,bertscore_f1,loss,perplexity
DistilBART,sshleifer/distilbart-cnn-12-6,1,0.40888762388171895,0.1895019808276801,0.2841762553159583,0.3840879518892178,14.578879163786176,0.38219764361243713,42.711119151271774,0.8830535307526588,0.8915269327163696,0.8871345353126526,1.6508443355560303,5.211378121944501
DistilBART,sshleifer/distilbart-cnn-12-6,2,0.4083278121455349,0.18634868881662375,0.2825420948179702,0.38412994706695897,14.386043687704028,0.37916722292299776,42.36046359388095,0.8836310681819916,0.8916888182759285,0.8875073242068291,1.8916717767715454,6.63044404303331
DistilBART,sshleifer/distilbart-cnn-12-6,3,0.4021743251826313,0.17684388176216426,0.2743890508124114,0.37750894949061525,13.446518184469069,0.3715578652065086,41.763319088088345,0.8827853868365287,0.8905882405400276,0.8865385129094124,2.394719123840332,10.965117786338947
DistilBART,sshleifer/distilbart-cnn-12-6,4,0.40048426705657747,0.17367701113735917,0.27134296641853917,0.37547031627799876,12.874133320912266,0.3713392290683636,41.761834468555,0.8822637661576271,0.8903867666840554,0.8861767039179802,2.8791043758392334,17.798325428807537
DistilBART,sshleifer/distilbart-cnn-12-6,5,0.3981156837424681,0.17032002563159268,0.26672552231061597,0.37288430887603113,12.477765377748343,0.36812086159639973,41.4987451467318,0.8817492601633072,0.8897774253368378,0.885612697327137,3.2296502590179443,25.270817184815687
DistilBART,sshleifer/distilbart-cnn-12-6,val,0.3981156837424681,0.17032002563159268,0.26672552231061597,0.37288430887603113,12.477765377748343,0.36812086159639973,41.4987451467318,0.8817492601633072,0.8897774253368378,0.885612697327137,3.2296502590179443,25.270817184815687
DistilBART,sshleifer/distilbart-cnn-12-6,test,0.3565948218601437,0.15063793049392254,0.25133706661465677,0.32759942350277216,10.579181698375978,0.36886175807590227,40.474403169678645,0.8730539846420288,0.8953052806854248,0.8839850080013275,3.1732873916625977,23.885877666166508
BART,facebook/bart-large-cnn,1,0.41528843783845415,0.1952545324619113,0.28698597287513067,0.3879050942830354,14.473266007388819,0.3973793586439746,43.90177218833288,0.8814432409286499,0.8936755023241043,0.8873806577444077,1.5201925039291382,4.573105451180783
BART,facebook/bart-large-cnn,2,0.4116815362791538,0.18859373722820635,0.28157032117273484,0.3854996742719854,13.690189877272703,0.39867992542830705,43.992736476190686,0.8807740487456321,0.8949586963891983,0.8876720550656318,1.8200371265411377,6.172087593893825
BART,facebook/bart-large-cnn,3,0.40602849007902553,0.17932216977692528,0.27415015860179437,0.3802619424601829,12.925130774963138,0.38867935596301384,43.30536218944799,0.8806922909259796,0.89349189889431,0.8869169315695763,2.464712619781494,11.760102045620256
BART,facebook/bart-large-cnn,4,0.40199549469007084,0.17554853171189055,0.27088042201031703,0.3761305619320534,12.596200454927935,0.38230744189604526,42.76758270601445,0.8807342851281166,0.8923961586952209,0.8863967697620392,3.011237382888794,20.31251874436004
BART,facebook/bart-large-cnn,5,0.4015871415620834,0.1733851481819696,0.27011483452043283,0.3753914692688315,12.547249773831014,0.37875949069916376,42.42933003388427,0.8812716124415397,0.8918099045157433,0.8863785535573959,3.33038067817688,27.94897924483265
BART,facebook/bart-large-cnn,val,0.4015871415620834,0.1733851481819696,0.27011483452043283,0.3753914692688315,12.547249773831014,0.37875949069916376,42.42933003388427,0.8812716124415397,0.8918099045157433,0.8863785535573959,3.33038067817688,27.94897924483265
BART,facebook/bart-large-cnn,test,0.3404413604687745,0.13386939230917036,0.24281991911472903,0.3181476118817178,9.684467094827358,0.358202825967501,39.47388074396362,0.8682471120357513,0.8936760544776916,0.880686401128769,3.4498887062072754,31.496886705695125
